"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"216","Irb Infrastructure Developers Limited","IRB","P&F | F.A","-4.38%","43.26","2,75,55,059"
"108","TATA Consumer Products Ltd","TATACONSUM","P&F | F.A","-4.39%","963.7","50,82,193"
"104","Godrej Consumer Products Limited","GODREJCP","P&F | F.A","-4.4%","1005.15","23,16,444"
"208","Sjvn Limited","SJVN","P&F | F.A","-4.4%","84.11","85,28,372"
"163","Indus Towers Ltd (Bharti Infratel)","INDUSTOWER","P&F | F.A","-4.41%","323.35","92,09,911"
"186","Bharat Heavy Electricals Limited","BHEL","P&F | F.A","-4.41%","179.17","1,71,63,841"
"41","Titan Company Limited","TITAN","P&F | F.A","-4.53%","3077.25","13,22,618"
"37","Supreme Industries Limited","SUPREMEIND","P&F | F.A","-4.6%","3329","3,47,300"
"116","Adani Green Energy Ltd","ADANIGREEN","P&F | F.A","-4.6%","774.4","4,39,47,584"
"190","Housing and Urban Development Corporation","HUDCO","P&F | F.A","-4.69%","165.14","80,36,878"
"167","Iifl Holdings Limited","IIFL","P&F | F.A","-4.73%","301.9","63,41,698"
"40","Hindustan Aeronautics Ltd","HAL","P&F | F.A","-4.76%","3088.2","24,13,864"
"210","Himachal Futuristic Communications Limited","HFCL","P&F | F.A","-4.76%","79.19","1,81,16,989"
"159","Rural Electrification Corporation Limited","RECLTD","P&F | F.A","-4.81%","360.3","1,34,86,063"
"55","Tvs Motor Company Limited","TVSMOTOR","P&F | F.A","-4.85%","2225.5","13,99,849"
"75","Bharti Airtel Limited","BHARTIARTL","P&F | F.A","-4.86%","1570.2","1,36,40,211"
"182","Hindustan Copper Limited","HINDCOPPER","P&F | F.A","-4.87%","202.32","55,23,833"
"207","Punjab National Bank","PNB","P&F | F.A","-4.97%","87.39","3,99,44,640"
"155","Aarti Industries Limited","AARTIIND","P&F | F.A","-5.01%","376","23,10,606"
"169","Petronet Lng Limited","PETRONET","P&F | F.A","-5.03%","283.3","49,69,675"
"50","Mahindra & Mahindra Limited","M&M","P&F | F.A","-5.19%","2585.1","75,49,863"
"15","Info Edge (india) Limited","NAUKRI","P&F | F.A","-5.26%","6992.65","9,81,103"
"96","Macrotech Developers Ltd","LODHA","P&F | F.A","-5.36%","1130.9","44,66,895"
"106","Indusind Bank Limited","INDUSINDBK","P&F | F.A","-5.41%","990.1","5,56,66,745"
"54","Mphasis Limited","MPHASIS","P&F | F.A","-5.43%","2247.25","10,97,369"
"180","Ashok Leyland Limited","ASHOKLEY","P&F | F.A","-5.54%","212.94","1,33,46,925"
