"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"453","Lemon Tree Hotels Ltd","LEMONTREE","P&F | F.A","-1.16%","129.01","21,07,930"
"355","Gujarat Gas Limited","GUJGASLTD","P&F | F.A","-1.17%","389","11,89,250"
"475","GMR Airports Ltd","GMRAIRPORT","P&F | F.A","-1.21%","72.82","72,58,727"
"124","Concord Biotech Ltd","CONCORDBIO","P&F | F.A","-1.24%","1725.55","39,561"
"398","Power Grid Corporation Of India Limited","POWERGRID","P&F | F.A","-1.26%","263.3","1,00,43,068"
"249","Godrej Agrovet Ltd","GODREJAGRO","P&F | F.A","-1.27%","761.4","1,33,841"
"270","Syngene International Limited","SYNGENE","P&F | F.A","-1.29%","679.65","2,27,156"
"2","Page Industries Limited","PAGEIND","P&F | F.A","-1.3%","40067.15","18,542"
"310","Nippon Life India Asset Management Ltd","NAM-INDIA","P&F | F.A","-1.3%","528.95","13,07,707"
"74","Aia Engineering Limited","AIAENG","P&F | F.A","-1.31%","3135.85","26,370"
"52","Crisil Limited","CRISIL","P&F | F.A","-1.33%","4488.95","31,561"
"75","Titan Company Limited","TITAN","P&F | F.A","-1.34%","3079.35","10,20,056"
"43","Trent Limited","TRENT","P&F | F.A","-1.37%","4999.85","6,90,809"
"224","Piramal Enterprises Limited","PEL","P&F | F.A","-1.39%","918.55","5,65,375"
"146","Oberoi Realty Limited","OBEROIRLTY","P&F | F.A","-1.4%","1543.15","4,19,309"
"201","Route Mobile Ltd","ROUTE","P&F | F.A","-1.43%","1019.6","2,13,964"
"400","Bharat Petroleum Corporation Limited","BPCL","P&F | F.A","-1.43%","261.26","70,57,204"
"431","Devyani International Ltd","DEVYANI","P&F | F.A","-1.44%","168.88","8,31,301"
"89","Timken India Limited","TIMKEN","P&F | F.A","-1.45%","2577.55","2,87,645"
"375","Jyothy Laboratories Limited","JYOTHYLAB","P&F | F.A","-1.49%","329.8","16,85,687"
"234","K.p.r. Mill Limited","KPRMILL","P&F | F.A","-1.51%","865.5","3,90,382"
"189","Metro Brands Ltd","METROBRAND","P&F | F.A","-1.52%","1120.85","3,46,212"
"193","Aurobindo Pharma Limited","AUROPHARMA","P&F | F.A","-1.53%","1097.4","8,86,545"
"273","Intellect Design Arena Limited","INTELLECT","P&F | F.A","-1.54%","669.95","2,89,374"
"495","Trident Limited","TRIDENT","P&F | F.A","-1.55%","25.36","1,06,96,543"
"100","Poly Medicure Limited","POLYMED","P&F | F.A","-1.56%","2284.05","1,00,461"
"435","Capri Global Capital Limited","CGCL","P&F | F.A","-1.57%","163.74","3,53,611"
"324","Jsw Energy Limited","JSWENERGY","P&F | F.A","-1.58%","491.7","43,29,758"
"392","Mahindra & Mahindra Financial Services Limited","M&MFIN","P&F | F.A","-1.59%","274.65","9,87,210"
"169","KPIT Technologies Ltd","KPITTECH","P&F | F.A","-1.61%","1305.4","7,08,924"
"304","AU Small Finance Bank","AUBANK","P&F | F.A","-1.61%","544.3","19,16,647"
"323","Sumitomo Chemical India Ltd","SUMICHEM","P&F | F.A","-1.65%","491.9","1,47,734"
"298","Laurus Labs Limited","LAURUSLABS","P&F | F.A","-1.67%","570.85","16,92,575"
"347","Rural Electrification Corporation Limited","RECLTD","P&F | F.A","-1.68%","406.2","70,26,343"
"261","Westlife Development Ltd","WESTLIFE","P&F | F.A","-1.69%","710.2","49,641"
